F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
0 S  6525 11335 11334  0  80   0 -  3884 poll_s ?        00:00:00 sftp-server
4 S     0 11348  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  7398 11379 11348  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  7398 11380 11379  0  80   0 -  3884 poll_s ?        00:00:00 sftp-server
1 S     0 11398     2  0  80   0 -     0 bdi_wr ?        00:00:00 flush-8:0
4 S     0 11403  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
5 S  6592 11441 11403  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  6592 11442 11441  0  80   0 -  5995 n_tty_ pts/26   00:00:00 bash
4 S     0 11685  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
5 S  6592 11712 11685  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  6592 11713 11712  0  80   0 -  3884 poll_s ?        00:00:00 sftp-server
4 S     0 11745  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  3648 11772 11745  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  3648 11773 11772  0  80   0 -  3884 poll_s ?        00:00:00 sftp-server
0 S  8271 11781  9906  0  80   0 -  1397 n_tty_ pts/24   00:00:00 pico
4 S     0 11786  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
4 S     0 11788  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
5 S  7471 11821 11786  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  7471 11822 11821  0  80   0 -  6001 n_tty_ pts/15   00:00:00 bash
4 S     0 11941  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
5 S  7704 12094 11788  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  7704 12095 12094  0  80   0 -  5997 n_tty_ pts/27   00:00:00 bash
1 S     0 12343     2  0  80   0 -     0 bdi_wr ?        00:00:00 flush-0:25
5 S  7631 12369 11941  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  7631 12370 12369  0  80   0 -  6045 wait   pts/29   00:00:00 bash
4 S     0 12612  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
1 S  7496 12634     1  0  80   0 -  4951 poll_s ?        00:00:15 screen
0 S  7496 12635 12634  0  80   0 -  5199 n_tty_ pts/19   00:00:00 bash
5 S  7704 12643 12612  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  7704 12644 12643  0  80   0 -  3884 poll_s ?        00:00:00 sftp-server
4 S     0 12789  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
5 S  7898 12847 12789  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  7898 12848 12847  0  80   0 -  5996 n_tty_ pts/30   00:00:00 bash
0 S  6857 13094 29994  0  80   0 -  1529 n_tty_ pts/46   00:00:00 pico
4 S     0 13100  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
5 S  7898 13128 13100  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  7898 13129 13128  0  80   0 -  3884 poll_s ?        00:00:00 sftp-server
4 S     0 13136  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  7137 13181 13136  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  7137 13182 13181  2  80   0 -  5995 n_tty_ pts/32   00:00:00 bash
1 S     0 13430     2  0  80   0 -     0 worker ?        00:00:00 kworker/0:1
0 S  7631 13431 12370  0  80   0 -  1298 n_tty_ pts/29   00:00:00 pico
0 S  3312 13437  2491  0  80   0 -   504 wait   pts/0    00:00:00 a.out
1 Z  3312 13438 13437  0  80   0 -     0 exit   pts/0    00:00:00 a.out <defunct>
0 S  3312 13445 13437  0  80   0 -   561 wait   pts/0    00:00:00 sh
0 D  3312 13446 13445  0  80   0 -  4474 sleep_ pts/0    00:00:00 ls
0 R  3312 13447 13446  0  80   0 -  1179 -      pts/0    00:00:00 ps
1 Z  3312 13448 13447  0  80   0 -     0 exit   pts/0    00:00:00 a.out <defunct>
1 S     0 13754     2  0  80   0 -     0 worker ?        00:01:11 kworker/u:2
4 S     0 15728  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
5 S  3777 15755 15728  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  3777 15756 15755  0  80   0 -  3884 poll_s ?        00:00:00 sftp-server
4 S     0 15871  1602  0  80   0 -  7910 poll_s ?        00:00:00 sshd
5 S  3572 15902 15871  0  80   0 -  7910 poll_s ?        00:00:01 sshd
0 S  3572 15903 15902  0  80   0 -  3912 poll_s ?        00:00:00 sftp-server
4 S     0 16788  1602  0  80   0 -  7918 poll_s ?        00:00:00 sshd
5 S  3777 16815 16788  0  80   0 -  7918 poll_s ?        00:00:00 sshd
0 S  3777 16816 16815  0  80   0 -  3884 poll_s ?        00:00:00 sftp-server
1 S  3879 17129     1  0  80   0 -   912 poll_s ?        00:19:11 tmux
0 S  3879 17130 17129  0  80   0 -  5172 n_tty_ pts/63   00:00:00 zsh
